id,sis_id,pre_iso_ortho_gs_response,pre_iso_ortho_gs_score,pre_ortho_iso_gs_response,pre_ortho_iso_gs_score,pre_iso_ortho_hz_response,pre_iso_ortho_hz_score,pre_iso_ortho_hz_front_response,pre_iso_ortho_hz_front_score,pre_iso_ortho_hz_top_response,pre_iso_ortho_hz_top_score,pre_ortho_iso_hz_response,pre_ortho_iso_hz_score,pre_total_score,pre_total_split_score,post_iso_ortho_gs_response,post_iso_ortho_gs_score,post_ortho_iso_gs_response,post_ortho_iso_gs_score,post_iso_ortho_hz_response,post_iso_ortho_hz_score,post_iso_ortho_hz_front_response,post_iso_ortho_hz_front_score,post_iso_ortho_hz_top_response,post_iso_ortho_hz_top_score,post_ortho_iso_hz_response,post_ortho_iso_hz_score,post_total_score,post_total_split_score,pre_post_total_score_diff,pre_post_total_split_score_diff
210609,380494357,C,0,A,0,"E,O",0,E,1,O,0,E,0,0,1,C,0,A,0,"A,N",0,A,0,N,1,G,0,0,1,0,0
265109,746982364,A,0,C,0,"D,O",0,D,0,O,0,G,1,1,1,A,0,B,0,"C,O",0,C,0,O,0,F,0,0,0,-1,-1
250203,581087950,A,0,B,1,"C,O",0,C,0,O,0,J,0,1,1,A,0,B,0,"B,O",0,B,0,O,0,C,0,0,0,-1,-1
259789,462490210,A,0,C,0,"E,M",1,E,1,M,1,D,0,1,2,D,0,B,0,"G,O",0,G,1,O,0,C,0,0,1,-1,-1
257693,486594591,D,1,B,1,"F,M",0,F,0,M,1,G,1,3,4,A,0,C,0,"C,O",0,C,0,O,0,E,0,0,0,-3,-4
270885,979525602,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,C,0,C,0,,0,,0,,0,,0,0,0,-4,-5
258396,951614208,C,0,C,0,"A,M",0,A,0,M,1,H,0,0,1,B,1,B,0,"C,M",0,C,0,M,0,G,0,1,1,1,0
218402,967368958,C,0,C,0,"F,M",0,F,0,M,1,K,0,0,1,B,1,B,0,"E,O",0,E,0,O,0,C,0,1,1,1,0
257990,316953934,,0,,0,,0,,0,,0,J,0,0,0,D,0,D,1,"B,N",0,B,0,N,1,I,0,1,2,1,2
256718,955395465,D,1,C,0,"G,O",0,G,0,O,0,B,0,1,1,B,1,B,0,"D,O",0,D,0,O,0,C,0,1,1,0,0
222618,432120876,B,0,B,1,"E,N",0,E,1,N,0,G,1,2,3,B,1,A,0,"J,N",0,J,0,N,1,D,0,1,2,-1,-1
229924,335185926,C,0,B,1,"G,O",0,G,0,O,0,G,1,2,2,A,0,D,1,"I,N",0,I,0,N,1,I,0,1,2,-1,0
248887,963755846,D,1,D,0,"E,M",1,E,1,M,1,K,0,2,3,B,1,C,0,"H,N",0,H,0,N,1,D,0,1,2,-1,-1
254577,332141645,D,1,B,1,"B,M",0,B,0,M,1,D,0,2,3,A,0,D,1,"D,O",0,D,0,O,0,D,0,1,1,-1,-2
265587,335975063,D,1,B,1,"B,M",0,B,0,M,1,G,1,3,4,D,0,D,1,"E,M",0,E,0,M,0,I,0,1,1,-2,-3
277644,572543643,D,1,B,1,"E,M",1,E,1,M,1,J,0,3,4,B,1,C,0,"D,N",0,D,0,N,1,G,0,1,2,-2,-2
264321,744458139,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,A,0,,0,,0,,0,,0,1,1,-3,-4
244961,237423070,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,C,0,B,0,"E,N",0,E,0,N,1,H,1,1,2,-3,-3
246195,976470145,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,B,0,"E,N",0,E,0,N,1,I,0,1,2,-3,-3
256371,294286017,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,A,0,D,1,"I,O",0,I,0,O,0,F,0,1,1,-3,-4
244863,849621940,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,B,0,"A,M",0,A,0,M,0,B,0,1,1,-3,-4
244692,161674235,A,0,D,0,"A,M",0,A,0,M,1,G,1,1,2,A,0,D,1,"I,O",0,I,0,O,0,H,1,2,2,1,0
210918,868305564,C,0,B,1,"H,O",0,H,0,O,0,F,0,1,1,D,0,D,1,"B,N",0,B,0,N,1,H,1,2,3,1,2
213711,176808801,B,0,C,0,"C,O",0,C,0,O,0,G,1,1,1,B,1,D,1,"E,O",0,E,0,O,0,F,0,2,2,1,1
258103,290165600,A,0,B,1,"B,N",0,B,0,N,0,D,0,1,1,B,1,D,1,"D,N",0,D,0,N,1,C,0,2,3,1,2
242173,104076327,D,1,D,0,"D,N",0,D,0,N,0,J,0,1,1,B,1,D,1,"C,O",0,C,0,O,0,C,0,2,2,1,1
249781,444669583,C,0,D,0,"B,M",0,B,0,M,1,G,1,1,2,D,0,D,1,"E,N",0,E,0,N,1,H,1,2,3,1,1
265535,325475909,D,1,B,1,"C,M",0,C,0,M,1,B,0,2,3,B,1,B,0,"G,N",1,G,1,N,1,I,0,2,3,0,0
260315,921461081,D,1,D,0,"G,M",0,G,0,M,1,G,1,2,3,D,0,D,1,"I,N",0,I,0,N,1,H,1,2,3,0,0
251364,983765419,A,0,B,1,"G,M",0,G,0,M,1,G,1,2,3,D,0,D,1,"E,N",0,E,0,N,1,H,1,2,3,0,0
200497,756680677,D,1,A,0,"B,M",0,B,0,M,1,G,1,2,3,B,1,D,1,"J,N",0,J,0,N,1,,0,2,3,0,0
160372,183368087,D,1,B,1,"C,M",0,C,0,M,1,E,0,2,3,A,0,D,1,"I,N",0,I,0,N,1,H,1,2,3,0,0
257153,379590603,D,1,B,1,"G,M",0,G,0,M,1,F,0,2,3,B,1,D,1,"E,N",0,E,0,N,1,I,0,2,3,0,0
210203,971491326,C,0,B,1,"G,M",0,G,0,M,1,G,1,2,3,B,1,C,0,"I,O",0,I,0,O,0,H,1,2,2,0,-1
263471,416782810,A,0,B,1,"G,M",0,G,0,M,1,G,1,2,3,D,0,D,1,"B,N",0,B,0,N,1,H,1,2,3,0,0
215530,246668993,A,0,B,1,"C,M",0,C,0,M,1,G,1,2,3,B,1,D,1,"I,M",0,I,0,M,0,J,0,2,2,0,-1
256685,528670194,C,0,B,1,"F,M",0,F,0,M,1,G,1,2,3,D,0,D,1,"B,M",0,B,0,M,0,H,1,2,2,0,-1
244905,750738161,A,0,B,1,"D,M",0,D,0,M,1,G,1,2,3,D,0,D,1,"I,N",0,I,0,N,1,H,1,2,3,0,0
248243,909980188,C,0,B,1,"E,N",0,E,1,N,0,G,1,2,3,C,0,D,1,"E,N",0,E,0,N,1,H,1,2,3,0,0
198481,324315051,D,1,B,1,,0,,0,,0,,0,2,2,D,0,D,1,,0,,0,,0,H,1,2,2,0,0
248910,264876016,D,1,B,1,"G,M",0,G,0,M,1,G,1,3,4,B,1,D,1,,0,,0,,0,,0,2,2,-1,-2
214946,574105647,D,1,B,1,"B,M",0,B,0,M,1,G,1,3,4,B,1,D,1,"B,N",0,B,0,N,1,I,0,2,3,-1,-1
259051,837051522,D,1,B,1,"G,M",0,G,0,M,1,G,1,3,4,B,1,D,1,"E,N",0,E,0,N,1,,0,2,3,-1,-1
259340,404741974,D,1,A,0,"E,M",1,E,1,M,1,G,1,3,4,D,0,D,1,"E,N",0,E,0,N,1,H,1,2,3,-1,-1
256163,973031120,D,1,B,1,"G,M",0,G,0,M,1,G,1,3,4,B,1,D,1,"E,N",0,E,0,N,1,I,0,2,3,-1,-1
257943,970610856,C,0,B,1,"E,M",1,E,1,M,1,G,1,3,4,A,0,D,1,"C,N",0,C,0,N,1,H,1,2,3,-1,-1
251412,345027534,C,0,B,1,"E,M",1,E,1,M,1,G,1,3,4,B,1,C,0,"E,N",0,E,0,N,1,H,1,2,3,-1,-1
245844,774904494,D,1,B,1,"B,M",0,B,0,M,1,G,1,3,4,B,1,D,1,"E,N",0,E,0,N,1,I,0,2,3,-1,-1
261665,893741341,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,"I,N",0,I,0,N,1,I,0,2,3,-2,-2
258147,711047878,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,,0,,0,,0,,0,2,2,-2,-3
220998,891697674,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,A,0,D,1,"G,N",1,G,1,N,1,I,0,2,3,-2,-2
255689,357236034,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,D,0,D,1,"I,N",0,I,0,N,1,H,1,2,3,-2,-2
254530,295898111,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,A,0,D,1,"G,N",1,G,1,N,1,,0,2,3,-2,-2
211269,147761076,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,C,0,"G,M",0,G,1,M,0,H,1,2,3,-2,-2
252339,244687891,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,D,0,D,1,"I,N",0,I,0,N,1,H,1,2,3,-2,-2
275747,869343773,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,B,1,D,1,"I,N",0,I,0,N,1,I,0,2,3,-2,-2
243915,388511596,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,C,0,D,1,"C,N",0,C,0,N,1,H,1,2,3,-2,-2
246735,848051990,D,1,B,1,"E,M",1,E,1,M,1,G,1,4,5,D,0,B,0,"G,N",1,G,1,N,1,H,1,2,3,-2,-2
257735,738852805,B,0,C,0,"C,N",0,C,0,N,0,D,0,0,0,B,1,C,0,"G,N",1,G,1,N,1,H,1,3,4,3,4
261219,434015885,B,0,D,0,"F,O",0,F,0,O,0,E,0,0,0,B,1,D,1,"I,O",0,I,0,O,0,H,1,3,3,3,3
251643,779226907,C,0,D,0,"B,O",0,B,0,O,0,F,0,0,0,B,1,D,1,"B,N",0,B,0,N,1,H,1,3,4,3,4
252715,334961911,C,0,C,0,"C,O",0,C,0,O,0,C,0,0,0,B,1,D,1,"B,N",0,B,0,N,1,H,1,3,4,3,4
264984,238139581,B,0,,0,"G,M",0,G,0,M,1,E,0,0,1,B,1,D,1,"D,N",0,D,0,N,1,H,1,3,4,3,3
258712,120683565,A,0,A,0,"G,M",0,G,0,M,1,B,0,0,1,B,1,B,0,"G,N",1,G,1,N,1,H,1,3,4,3,3
253070,291426168,C,0,A,0,"B,M",0,B,0,M,1,J,0,0,1,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,3,3
206728,778074619,D,1,D,0,"D,M",0,D,0,M,1,C,0,1,2,B,1,D,1,"A,N",0,A,0,N,1,H,1,3,4,2,2
254861,999939698,C,0,A,0,"B,M",0,B,0,M,1,G,1,1,2,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,2,2
208221,197406072,D,1,C,0,"I,M",0,I,0,M,1,C,0,1,2,B,1,D,1,"B,N",0,B,0,N,1,H,1,3,4,2,2
177192,178007375,C,0,B,1,"G,M",0,G,0,M,1,J,0,1,2,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,2,2
234819,236153830,D,1,C,0,"C,N",0,C,0,N,0,F,0,1,1,B,1,D,1,"F,O",0,F,0,O,0,H,1,3,3,2,2
243752,267826815,A,0,B,1,"B,M",0,B,0,M,1,J,0,1,2,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,2,2
246194,943104843,A,0,B,1,"G,M",0,G,0,M,1,D,0,1,2,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,2,2
268982,440750448,A,0,D,0,"B,M",0,B,0,M,1,G,1,1,2,B,1,D,1,"B,N",0,B,0,N,1,H,1,3,4,2,2
232871,605529857,D,1,C,0,"B,O",0,B,0,O,0,E,0,1,1,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,2,3
272378,149259530,A,0,B,1,"G,M",0,G,0,M,1,G,1,2,3,B,1,B,0,"G,N",1,G,1,N,1,H,1,3,4,1,1
232852,458831385,D,1,B,1,"G,M",0,G,0,M,1,B,0,2,3,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,1,1
271648,360859107,C,0,B,1,"A,M",0,A,0,M,1,G,1,2,3,B,1,D,1,"I,N",0,I,0,N,1,H,1,3,4,1,1
252263,936672199,A,0,B,1,"E,M",1,E,1,M,1,J,0,2,3,B,1,D,1,"I,N",0,I,0,N,1,H,1,3,4,1,1
242404,180087933,C,0,B,1,"B,M",0,B,0,M,1,G,1,2,3,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,1,1
286337,966694495,D,1,B,1,E,0,,0,,0,,0,2,2,B,1,D,1,"I,N",0,I,0,N,1,H,1,3,4,1,2
251944,537314220,D,1,B,1,"G,M",0,G,0,M,1,C,0,2,3,B,1,D,1,"I,N",0,I,0,N,1,H,1,3,4,1,1
256555,226468951,A,0,B,1,"B,M",0,B,0,M,1,G,1,2,3,B,1,B,0,"G,N",1,G,1,N,1,H,1,3,4,1,1
262311,501299719,D,1,A,0,"G,M",0,G,0,M,1,G,1,2,3,B,1,D,1,"I,O",0,I,0,O,0,H,1,3,3,1,0
255769,219002862,D,1,B,1,"G,M",0,G,0,M,1,B,0,2,3,B,1,D,1,"I,N",0,I,0,N,1,H,1,3,4,1,1
270606,409750028,D,1,A,0,"G,M",0,G,0,M,1,G,1,2,3,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,1,1
285982,982974454,,0,B,1,"B,M",0,B,0,M,1,G,1,2,3,B,1,D,1,"I,O",0,I,0,O,0,H,1,3,3,1,0
285898,216317586,D,1,B,1,"B,M",0,B,0,M,1,,0,2,3,B,1,D,1,"B,N",0,B,0,N,1,H,1,3,4,1,1
210978,551805595,C,0,B,1,"E,M",1,E,1,M,1,G,1,3,4,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,0,0
254223,860122077,D,1,B,1,"G,M",0,G,0,M,1,G,1,3,4,D,0,D,1,"G,N",1,G,1,N,1,H,1,3,4,0,0
262070,513593026,D,1,B,1,"B,M",0,B,0,M,1,G,1,3,4,A,0,D,1,"G,N",1,G,1,N,1,H,1,3,4,0,0
226685,294851856,D,1,B,1,"B,M",0,B,0,M,1,G,1,3,4,B,1,C,0,"G,N",1,G,1,N,1,H,1,3,4,0,0
248483,254100150,D,1,B,1,"B,N",0,B,0,N,0,G,1,3,3,B,1,D,1,"I,N",0,I,0,N,1,H,1,3,4,0,1
251171,155564689,B,0,B,1,"E,M",1,E,1,M,1,G,1,3,4,B,1,D,1,"I,N",0,I,0,N,1,H,1,3,4,0,0
289460,241954894,D,1,A,0,"E,M",1,E,1,M,1,G,1,3,4,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,0,0
167625,462145775,D,1,B,1,"A,M",0,A,0,M,1,G,1,3,4,B,1,D,1,"I,O",0,I,0,O,0,H,1,3,3,0,-1
275907,649911679,D,1,B,1,"G,M",0,G,0,M,1,G,1,3,4,B,1,D,1,"I,N",0,I,0,N,1,H,1,3,4,0,0
249210,672593584,D,1,B,1,"E,M",1,E,1,M,1,,0,3,4,B,1,D,1,"G,N",1,G,1,N,1,,0,3,4,0,0
259322,296964694,D,1,B,1,"E,M",1,E,1,M,1,C,0,3,4,B,1,D,1,"E,N",0,E,0,N,1,H,1,3,4,0,0
