id,sis_id,pre_confidence_level_combined,pre_overall_confidence_num,pre_iso_ortho_text,pre_iso_ortho_num,pre_ortho_iso_text,pre_ortho_iso_num,post_confidence_level_combined,post_overall_confidence_num,post_iso_ortho_text,post_iso_ortho_num,post_ortho_iso_text,post_ortho_iso_num
258451,890585072,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
215116,915937696,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
263561,735637311,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
254202,539834780,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
269087,904995882,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
276630,430065930,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
271906,425944586,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
216964,262790112,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
250306,633535162,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
250647,721180197,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
224993,723622382,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
266100,754400731,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
269027,280378981,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
246092,810091938,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
258302,383683794,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
213983,103402645,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
272627,451546258,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
203106,505321426,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
251171,155564689,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
289460,241954894,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
254583,332380801,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
258158,886466732,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
272283,731612520,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
263348,642296167,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
193737,980682765,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
223465,187172524,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
259340,404741974,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
250796,694111662,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
196922,285490171,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
246387,282802723,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
257882,660915021,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
244710,439766768,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
251907,338397633,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
267962,431000717,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
257041,264651749,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
256975,162386753,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
260692,246187946,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
251417,564312298,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
214711,588333006,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
252895,512563386,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
250039,868391538,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
244484,715068174,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
262319,155646305,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
246195,976470145,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
244061,178878707,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
261325,682154462,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
7460,769492712,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
258347,301722885,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
250257,835115086,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
269234,748171565,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
249548,567575421,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
241855,798907409,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
254577,332141645,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
245110,133049715,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
244863,849621940,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
269392,473859511,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
248177,967708051,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
257797,868238218,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
259548,555203276,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
246500,146352457,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
214687,974700867,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
252374,429689551,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
245441,651214418,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
263471,416782810,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
252122,349985043,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
253521,718931068,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
246067,942106919,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
253198,233038984,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
285982,982974454,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
227527,279238711,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
255792,649793174,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
257693,486594591,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
256458,203434628,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
276886,215778815,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
257763,456074114,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
251143,308496059,"Agree,Agree",8,Agree,4,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
252389,407367068,"Agree,Disagree",6,Agree,4,Disagree,2,"Agree,Agree",8,Agree,4,Agree,4
272380,574750187,"Agree,Neutral",7,Agree,4,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
255468,856915197,"Agree,Neutral",7,Agree,4,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
252759,638988662,"Agree,Neutral",7,Agree,4,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
211673,627598781,"Agree,Neutral",7,Agree,4,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
222806,740943727,"Agree,Neutral",7,Agree,4,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
255689,357236034,"Agree,Neutral",7,Agree,4,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
246608,831109519,"Agree,Neutral",7,Agree,4,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
245019,617940790,"Agree,Neutral",7,Agree,4,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
273536,737717585,"Agree,Neutral",7,Agree,4,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
244635,201238199,"Agree,Neutral",7,Agree,4,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
252070,422219231,"Agree,Neutral",7,Agree,4,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
240507,923211385,"Agree,Neutral",7,Agree,4,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
262123,730364799,"Agree,Strongly agree",9,Agree,4,Strongly agree,5,"Agree,Agree",8,Agree,4,Agree,4
248607,287955382,"Agree,Strongly agree",9,Agree,4,Strongly agree,5,"Agree,Agree",8,Agree,4,Agree,4
238371,885687301,"Agree,Strongly agree",9,Agree,4,Strongly agree,5,"Agree,Agree",8,Agree,4,Agree,4
243494,836233543,"Agree,Strongly agree",9,Agree,4,Strongly agree,5,"Agree,Agree",8,Agree,4,Agree,4
215867,761426817,"Disagree,Agree",6,Disagree,2,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
244692,161674235,"Disagree,Disagree",4,Disagree,2,Disagree,2,"Agree,Agree",8,Agree,4,Agree,4
257735,738852805,"Disagree,Disagree",4,Disagree,2,Disagree,2,"Agree,Agree",8,Agree,4,Agree,4
223084,414847975,"Disagree,Disagree",4,Disagree,2,Disagree,2,"Agree,Agree",8,Agree,4,Agree,4
246194,943104843,"Disagree,Disagree",4,Disagree,2,Disagree,2,"Agree,Agree",8,Agree,4,Agree,4
210203,971491326,"Disagree,Disagree",4,Disagree,2,Disagree,2,"Agree,Agree",8,Agree,4,Agree,4
255338,707514293,"Disagree,Neutral",5,Disagree,2,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
226685,294851856,"Neutral,Agree",7,Neutral,3,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
261890,711037063,"Neutral,Agree",7,Neutral,3,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
265883,884704370,"Neutral,Agree",7,Neutral,3,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
247929,704386396,"Neutral,Agree",7,Neutral,3,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
250400,233904926,"Neutral,Agree",7,Neutral,3,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
246440,808813137,"Neutral,Agree",7,Neutral,3,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
201982,641851077,"Neutral,Agree",7,Neutral,3,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
245308,328054549,"Neutral,Agree",7,Neutral,3,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
247343,843754953,"Neutral,Agree",7,Neutral,3,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
261229,766589498,"Neutral,Disagree",5,Neutral,3,Disagree,2,"Agree,Agree",8,Agree,4,Agree,4
268041,419099478,"Neutral,Disagree",5,Neutral,3,Disagree,2,"Agree,Agree",8,Agree,4,Agree,4
254861,999939698,"Neutral,Neutral",6,Neutral,3,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
230747,711265939,"Neutral,Neutral",6,Neutral,3,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
245954,191365388,"Neutral,Neutral",6,Neutral,3,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
255426,378684936,"Neutral,Neutral",6,Neutral,3,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
260099,838244209,"Neutral,Neutral",6,Neutral,3,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
256441,959759115,"Neutral,Neutral",6,Neutral,3,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
252310,484286157,"Neutral,Neutral",6,Neutral,3,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
239214,111592442,"Neutral,Neutral",6,Neutral,3,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
253488,707422380,"Neutral,Neutral",6,Neutral,3,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
294143,945208406,"Neutral,Neutral",6,Neutral,3,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
264340,107794551,"Neutral,Neutral",6,Neutral,3,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
217343,666196611,"Neutral,Neutral",6,Neutral,3,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
270617,623154198,"Neutral,Neutral",6,Neutral,3,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
256685,528670194,"Neutral,Neutral",6,Neutral,3,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
258437,321222570,"Neutral,Neutral",6,Neutral,3,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
253146,219515561,"Neutral,Neutral",6,Neutral,3,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
251412,345027534,"Neutral,Neutral",6,Neutral,3,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
253364,685344827,"Neutral,Neutral",6,Neutral,3,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
253767,772020660,"Neutral,Neutral",6,Neutral,3,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
242831,859937316,"Strongly agree,Agree",9,Strongly agree,5,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
270520,122476017,"Strongly agree,Agree",9,Strongly agree,5,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
196570,890953314,"Strongly agree,Agree",9,Strongly agree,5,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
254347,532274936,"Strongly agree,Agree",9,Strongly agree,5,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
255868,735024267,"Strongly agree,Agree",9,Strongly agree,5,Agree,4,"Agree,Agree",8,Agree,4,Agree,4
259754,280790845,"Strongly agree,Neutral",8,Strongly agree,5,Neutral,3,"Agree,Agree",8,Agree,4,Agree,4
265850,535062568,"Strongly agree,Strongly agree",10,Strongly agree,5,Strongly agree,5,"Agree,Agree",8,Agree,4,Agree,4
240667,536053081,"Strongly agree,Strongly agree",10,Strongly agree,5,Strongly agree,5,"Agree,Agree",8,Agree,4,Agree,4
255794,906240694,"Strongly agree,Strongly agree",10,Strongly agree,5,Strongly agree,5,"Agree,Agree",8,Agree,4,Agree,4
254707,323059711,"Strongly agree,Strongly agree",10,Strongly agree,5,Strongly agree,5,"Agree,Agree",8,Agree,4,Agree,4
262529,336091155,"Strongly agree,Strongly agree",10,Strongly agree,5,Strongly agree,5,"Agree,Agree",8,Agree,4,Agree,4
