id,sis_id,iso_ortho_gs_response,iso_ortho_gs_score,ortho_iso_gs_response,ortho_iso_gs_score,iso_ortho_hz_response,iso_ortho_hz_score,ortho_iso_hz_response,ortho_iso_hz_score,confidence_iso_ortho_ortho_iso,total_score
256203,315153265,B,0,D,0,"D,M",0,D,0,"Disagree,Agree",0
269808,740854011,A,0,C,0,"A,N",0,B,0,"Strongly disagree,Strongly disagree",0
252745,933278241,C,0,D,0,"D,M",0,B,0,"Strongly disagree,Disagree",0
267051,798077235,B,0,C,0,"A,M",0,B,0,"Neutral,Agree",0
270105,399994853,B,0,A,0,"B,O",0,D,0,"Agree,Agree",0
252131,224120038,B,0,A,0,"B,M",0,L,0,"Neutral,Neutral",0
253825,187608375,A,0,C,0,"A,N",0,B,0,"Neutral,Neutral",0
244378,923352743,A,0,A,0,"E,N",0,,0,"Neutral,Neutral",0
243954,806648924,C,0,A,0,"B,M",0,G,1,"Agree,Agree",1
202068,915476930,C,0,B,1,"F,M",0,J,0,"Neutral,Neutral",1
249374,151381631,A,0,B,1,"B,M",0,F,0,"Neutral,Neutral",1
266909,405804922,C,0,B,1,"A,M",0,J,0,"Agree,Agree",1
253703,139396881,C,0,A,0,"B,M",0,G,1,"Agree,Agree",1
260673,393057172,D,1,D,0,"B,M",0,C,0,"Agree,Neutral",1
207660,636318120,D,1,C,0,"B,M",0,D,0,"Strongly agree,Strongly agree",1
221324,124315073,B,0,A,0,"E,M",1,C,0,"Neutral,Agree",1
266904,626958722,C,0,B,1,"G,N",0,D,0,"Neutral,Neutral",1
265062,819689202,C,0,D,0,"G,M",0,G,1,"Neutral,Neutral",1
267898,875844777,C,0,B,1,"B,M",0,L,0,"Neutral,Neutral",1
250182,583960629,D,1,C,0,"J,M",0,E,0,"Agree,Agree",1
251575,732528849,A,0,B,1,"B,M",0,K,0,"Agree,Neutral",1
248513,869616639,C,0,A,0,"B,M",0,G,1,"Neutral,Neutral",1
169220,961517158,A,0,B,1,"A,M",0,B,0,"Neutral,Neutral",1
252510,779929439,A,0,B,1,"E,N",0,D,0,"Agree,Neutral",1
255490,738340791,A,0,D,0,"B,M",0,G,1,"Neutral,Neutral",1
256165,598355018,B,0,B,1,"B,O",0,F,0,"Agree,Agree",1
248916,730674236,C,0,A,0,"B,M",0,G,1,"Disagree,Disagree",1
262928,756904626,A,0,B,1,"G,M",0,J,0,"Agree,Neutral",1
252506,577974581,A,0,A,0,"E,M",1,C,0,"Neutral,Agree",1
253650,513986989,C,0,B,1,"G,M",0,D,0,"Strongly disagree,Strongly disagree",1
255101,712488333,A,0,D,0,"G,M",0,G,1,"Agree,Neutral",1
248260,956494007,C,0,B,1,"B,O",0,C,0,"Agree,Strongly agree",1
256769,471403916,A,0,C,0,"G,M",0,G,1,"Agree,Agree",1
256272,359377602,A,0,D,0,"B,M",0,G,1,"Neutral,Neutral",1
128608,810509652,B,0,C,0,"C,M",0,G,1,"Neutral,Agree",1
253040,504556202,C,0,B,1,"G,M",0,G,1,"Neutral,Agree",2
263069,705410853,C,0,B,1,"G,M",0,G,1,"Agree,Neutral",2
250142,445118105,D,1,A,0,"B,M",0,G,1,"Neutral,Neutral",2
256704,353972624,D,1,B,1,"G,M",0,J,0,"Agree,Agree",2
233007,687996730,A,0,B,1,"E,M",1,J,0,"Neutral,Neutral",2
267606,142496648,D,1,B,1,"E,N",0,,0,,2
263928,624100183,D,1,B,1,"B,M",0,L,0,"Neutral,Strongly agree",2
259349,786281271,C,0,B,1,"G,M",0,G,1,"Agree,Neutral",2
246134,665690116,A,0,B,1,"G,M",0,G,1,"Strongly disagree,Strongly disagree",2
252326,172991324,C,0,B,1,"A,M",0,G,1,"Disagree,Neutral",2
260070,482637291,D,1,D,0,"G,M",0,G,1,"Neutral,Neutral",2
196578,604987143,D,1,B,1,,0,,0,,2
251144,389592893,D,1,B,1,"B,M",0,J,0,"Neutral,Neutral",2
256447,455593007,A,0,B,1,"B,M",0,G,1,"Neutral,Neutral",2
255494,143288234,D,1,A,0,"G,M",0,G,1,"Neutral,Neutral",2
85899,317284058,A,0,B,1,"H,M",0,G,1,"Strongly disagree,Agree",2
216789,251938994,D,1,B,1,,0,,0,,2
259478,781080219,C,0,B,1,"G,M",0,G,1,"Agree,Agree",2
254376,307048537,D,1,A,0,"G,M",0,G,1,"Disagree,Strongly agree",2
272486,468403720,D,1,B,1,"D,M",0,B,0,"Agree,Agree",2
202736,217100530,D,1,B,1,"B,M",0,C,0,"Agree,Neutral",2
258008,277715828,C,0,B,1,"G,M",0,G,1,"Disagree,Neutral",2
208539,822042586,D,1,B,1,"E,N",0,K,0,"Agree,Agree",2
251812,679548348,D,1,D,0,"B,M",0,G,1,"Agree,Agree",2
250343,685589779,D,1,C,0,"B,M",0,G,1,"Disagree,Disagree",2
258469,866156972,C,0,B,1,"G,M",0,G,1,"Agree,Agree",2
260606,717768078,A,0,B,1,"G,M",0,G,1,"Neutral,Neutral",2
254812,426228442,A,0,B,1,"B,M",0,G,1,"Neutral,Neutral",2
264412,848431280,C,0,B,1,"L,M",0,G,1,"Neutral,Neutral",2
