id,sis_id,iso_ortho_gs_response,iso_ortho_gs_score,ortho_iso_gs_response,ortho_iso_gs_score,iso_ortho_hz_response,iso_ortho_hz_score,ortho_iso_hz_response,ortho_iso_hz_score,confidence_iso_ortho_ortho_iso,total_score,participated_in_treatment
259789,462490210,D,0,B,0,"G,O",0,C,0,"Neutral,Neutral",0,TRUE
270885,979525602,C,0,C,0,,0,,0,,0,TRUE
250203,581087950,A,0,B,0,"B,O",0,C,0,"Disagree,Disagree",0,TRUE
265109,746982364,A,0,B,0,"C,O",0,F,0,"Neutral,Agree",0,TRUE
257693,486594591,A,0,C,0,"C,O",0,E,0,"Agree,Agree",0,TRUE
254577,332141645,A,0,D,1,"D,O",0,D,0,"Agree,Agree",1,TRUE
218402,967368958,B,1,B,0,"E,O",0,C,0,"Strongly disagree,Neutral",1,TRUE
265587,335975063,D,0,D,1,"E,M",0,I,0,"Strongly agree,Strongly agree",1,TRUE
244961,237423070,C,0,B,0,"E,N",0,H,1,"Neutral,Neutral",1,TRUE
270064,956068087,A,0,D,1,"A,O",0,,0,,1,TRUE
258004,744302150,A,0,D,1,"A,O",0,C,0,"Disagree,Agree",1,TRUE
257990,316953934,D,0,D,1,"B,N",0,I,0,"Disagree,Disagree",1,TRUE
244863,849621940,B,1,B,0,"A,M",0,B,0,"Agree,Agree",1,TRUE
256371,294286017,A,0,D,1,"I,O",0,F,0,"Neutral,Neutral",1,TRUE
258396,951614208,B,1,B,0,"C,M",0,G,0,"Disagree,Strongly agree",1,TRUE
256718,955395465,B,1,B,0,"D,O",0,C,0,"Neutral,Agree",1,TRUE
246195,976470145,B,1,B,0,"E,N",0,I,0,"Agree,Agree",1,TRUE
229924,335185926,A,0,D,1,"I,N",0,I,0,"Agree,Neutral",1,TRUE
277644,572543643,B,1,C,0,"D,N",0,G,0,"Agree,Agree",1,TRUE
248887,963755846,B,1,C,0,"H,N",0,D,0,"Disagree,Disagree",1,TRUE
245844,774904494,B,1,D,1,"E,N",0,I,0,"Neutral,Neutral",2,TRUE
244692,161674235,A,0,D,1,"I,O",0,H,1,"Agree,Agree",2,TRUE
200497,756680677,B,1,D,1,"J,N",0,,0,,2,TRUE
259340,404741974,D,0,D,1,"E,N",0,H,1,"Agree,Agree",2,TRUE
259051,837051522,B,1,D,1,"E,N",0,,0,,2,TRUE
210203,971491326,B,1,C,0,"I,O",0,H,1,"Agree,Agree",2,TRUE
