id,sis_id,iso_ortho_gs_response,iso_ortho_gs_score,ortho_iso_gs_response,ortho_iso_gs_score,iso_ortho_hz_response,iso_ortho_hz_score,ortho_iso_hz_response,ortho_iso_hz_score,confidence_iso_ortho_ortho_iso,total_score,participated_in_treatment
258396,951614208,C,0,C,0,"A,M",0,H,0,"Agree,Agree",0,TRUE
261219,434015885,B,0,D,0,"F,O",0,E,0,"Neutral,Neutral",0,TRUE
252715,334961911,C,0,C,0,"C,O",0,C,0,"Agree,Agree",0,TRUE
258290,692281481,C,0,,0,,0,,0,,0,TRUE
258712,120683565,A,0,A,0,"G,M",0,B,0,"Strongly disagree,Strongly disagree",0,TRUE
218402,967368958,C,0,C,0,"F,M",0,K,0,"Strongly disagree,Disagree",0,TRUE
257988,576264940,C,0,D,0,"C,M",0,C,0,"Strongly agree,Disagree",0,TRUE
253070,291426168,C,0,A,0,"B,M",0,J,0,"Neutral,Neutral",0,TRUE
271235,785221912,A,0,A,0,"A,M",0,A,0,"Strongly agree,Strongly agree",0,TRUE
257927,620609500,A,0,A,0,"B,M",0,J,0,"Strongly disagree,Strongly disagree",0,TRUE
257990,316953934,,0,,0,,0,J,0,"Strongly disagree,Strongly disagree",0,TRUE
268041,419099478,C,0,A,0,"C,O",0,C,0,"Neutral,Disagree",0,TRUE
224345,898686927,C,0,C,0,"C,N",0,E,0,"Strongly disagree,Strongly disagree",0,TRUE
253090,120844031,B,0,C,0,"E,O",0,G,1,,1,TRUE
244692,161674235,A,0,D,0,"A,M",0,G,1,"Disagree,Disagree",1,TRUE
206728,778074619,D,1,D,0,"D,M",0,C,0,"Strongly disagree,Strongly disagree",1,TRUE
254861,999939698,C,0,A,0,"B,M",0,G,1,"Neutral,Neutral",1,TRUE
253065,715999470,D,1,C,0,"G,M",0,B,0,"Disagree,Disagree",1,TRUE
234819,236153830,D,1,C,0,"C,N",0,F,0,"Agree,Neutral",1,TRUE
265433,290273518,C,0,B,1,"B,M",0,B,0,"Agree,Agree",1,TRUE
243752,267826815,A,0,B,1,"B,M",0,J,0,"Neutral,Agree",1,TRUE
213711,176808801,B,0,C,0,"C,O",0,G,1,"Agree,Neutral",1,TRUE
246194,943104843,A,0,B,1,"G,M",0,D,0,"Disagree,Disagree",1,TRUE
232871,605529857,D,1,C,0,"B,O",0,E,0,"Agree,Disagree",1,TRUE
263934,508961752,B,0,D,0,"B,M",0,G,1,"Disagree,Neutral",1,TRUE
256441,959759115,C,0,B,1,"G,M",0,K,0,"Neutral,Neutral",1,TRUE
256718,955395465,D,1,C,0,"G,O",0,B,0,"Disagree,Strongly agree",1,TRUE
258103,290165600,A,0,B,1,"B,N",0,D,0,"Strongly disagree,Strongly disagree",1,TRUE
242173,104076327,D,1,D,0,"D,N",0,J,0,"Neutral,Neutral",1,TRUE
265109,746982364,A,0,C,0,"D,O",0,G,1,"Disagree,Agree",1,TRUE
250203,581087950,A,0,B,1,"C,O",0,J,0,"Disagree,Disagree",1,TRUE
259789,462490210,A,0,C,0,"E,M",1,D,0,"Agree,Agree",1,TRUE
254202,539834780,A,0,B,1,"G,M",0,G,1,"Agree,Agree",2,TRUE
268552,444858819,D,1,C,0,"G,M",0,G,1,"Strongly disagree,Strongly disagree",2,TRUE
260315,921461081,D,1,D,0,"G,M",0,G,1,"Neutral,Neutral",2,TRUE
269784,797696763,D,1,B,1,"B,M",0,J,0,"Agree,Agree",2,TRUE
265850,535062568,C,0,C,0,"E,M",1,G,1,"Strongly agree,Strongly agree",2,TRUE
224993,723622382,C,0,B,1,"E,N",0,G,1,"Agree,Agree",2,TRUE
169962,261170747,B,0,B,1,"C,M",0,G,1,"Disagree,Disagree",2,TRUE
272378,149259530,A,0,B,1,"G,M",0,G,1,"Strongly agree,Strongly agree",2,TRUE
256889,166932766,D,1,B,1,"D,M",0,J,0,"Neutral,Disagree",2,TRUE
232852,458831385,D,1,B,1,"G,M",0,B,0,Strongly agree,2,TRUE
251364,983765419,A,0,B,1,"G,M",0,G,1,"Strongly agree,Neutral",2,TRUE
247261,382019461,C,0,B,1,"B,M",0,G,1,"Agree,Neutral",2,TRUE
258302,383683794,C,0,B,1,"B,M",0,G,1,"Agree,Agree",2,TRUE
271648,360859107,C,0,B,1,"A,M",0,G,1,"Disagree,Agree",2,TRUE
272627,451546258,C,0,B,1,"B,M",0,G,1,"Agree,Agree",2,TRUE
272420,840742914,C,0,B,1,"H,M",0,G,1,"Strongly agree,Neutral",2,TRUE
255468,856915197,D,1,B,1,"B,M",0,J,0,"Agree,Neutral",2,TRUE
252263,936672199,A,0,B,1,"E,M",1,J,0,"Neutral,Disagree",2,TRUE
242887,246438848,D,1,A,0,"G,M",0,G,1,"Agree,Agree",2,TRUE
252759,638988662,B,0,C,0,"E,M",1,G,1,"Agree,Neutral",2,TRUE
257755,392120104,D,1,D,0,"E,N",0,G,1,"Agree,Neutral",2,TRUE
254000,759628802,D,1,B,1,"C,M",0,E,0,"Neutral,Neutral",2,TRUE
261121,631156441,C,0,B,1,"B,M",0,G,1,"Neutral,Neutral",2,TRUE
242404,180087933,C,0,B,1,"B,M",0,G,1,"Neutral,Disagree",2,TRUE
286337,966694495,D,1,B,1,E,0,,0,,2,TRUE
251944,537314220,D,1,B,1,"G,M",0,C,0,"Disagree,Disagree",2,TRUE
256555,226468951,A,0,B,1,"B,M",0,G,1,"Agree,Disagree",2,TRUE
258010,713375707,B,0,B,1,"G,M",0,G,1,"Neutral,Neutral",2,TRUE
200497,756680677,D,1,A,0,"B,M",0,G,1,"Neutral,Neutral",2,TRUE
160372,183368087,D,1,B,1,"C,M",0,E,0,"Neutral,Neutral",2,TRUE
253013,537164680,D,1,B,1,"G,M",0,C,0,"Disagree,Disagree",2,TRUE
229924,335185926,C,0,B,1,"G,O",0,G,1,"Agree,Neutral",2,TRUE
7460,769492712,A,0,B,1,"B,M",0,G,1,"Agree,Agree",2,TRUE
262311,501299719,D,1,A,0,"G,M",0,G,1,"Neutral,Disagree",2,TRUE
248887,963755846,D,1,D,0,"E,M",1,K,0,"Disagree,Agree",2,TRUE
254577,332141645,D,1,B,1,"B,M",0,D,0,"Agree,Agree",2,TRUE
255769,219002862,D,1,B,1,"G,M",0,B,0,,2,TRUE
249028,706680353,D,1,B,1,"A,M",0,B,0,"Neutral,Neutral",2,TRUE
270606,409750028,D,1,A,0,"G,M",0,G,1,"Neutral,Agree",2,TRUE
258348,563173118,A,0,B,1,"B,M",0,G,1,"Neutral,Agree",2,TRUE
210203,971491326,C,0,B,1,"G,M",0,G,1,"Disagree,Disagree",2,TRUE
263471,416782810,A,0,B,1,"G,M",0,G,1,"Agree,Agree",2,TRUE
252122,349985043,C,0,B,1,"G,M",0,G,1,"Agree,Agree",2,TRUE
215530,246668993,A,0,B,1,"C,M",0,G,1,"Neutral,Disagree",2,TRUE
256685,528670194,C,0,B,1,"F,M",0,G,1,"Neutral,Neutral",2,TRUE
244905,750738161,A,0,B,1,"D,M",0,G,1,"Neutral,Neutral",2,TRUE
232981,436666227,C,0,B,1,"G,N",0,G,1,"Neutral,Neutral",2,TRUE
285982,982974454,,0,B,1,"B,M",0,G,1,"Agree,Agree",2,TRUE
263923,383627995,A,0,B,1,"B,M",0,G,1,"Disagree,Agree",2,TRUE
198481,324315051,D,1,B,1,,0,,0,,2,TRUE
263322,712485402,D,1,B,1,"B,M",0,J,0,"Agree,Neutral",2,TRUE
285898,216317586,D,1,B,1,"B,M",0,,0,"Strongly agree,Agree",2,TRUE
252590,577376653,A,0,B,1,"E,N",0,G,1,"Agree,Agree",2,TRUE
210978,551805595,C,0,B,1,"E,M",1,G,1,"Agree,Agree",3,TRUE
265587,335975063,D,1,B,1,"B,M",0,G,1,"Agree,Agree",3,TRUE
226685,294851856,D,1,B,1,"B,M",0,G,1,"Neutral,Agree",3,TRUE
269129,572796819,D,1,B,1,"E,M",1,J,0,"Disagree,Disagree",3,TRUE
248483,254100150,D,1,B,1,"B,N",0,G,1,"Agree,Agree",3,TRUE
262809,726951392,D,1,B,1,"E,N",0,G,1,"Strongly agree,Strongly agree",3,TRUE
250647,721180197,D,1,B,1,"E,M",1,J,0,"Agree,Agree",3,TRUE
254550,867709049,D,1,B,1,"G,M",0,G,1,"Neutral,Agree",3,TRUE
214946,574105647,D,1,B,1,"B,M",0,G,1,"Strongly disagree,Neutral",3,TRUE
246092,810091938,D,1,B,1,"B,M",0,G,1,"Agree,Agree",3,TRUE
259051,837051522,D,1,B,1,"G,M",0,G,1,"Neutral,Neutral",3,TRUE
268292,669607076,C,0,B,1,"E,M",1,G,1,"Disagree,Disagree",3,TRUE
289460,241954894,D,1,A,0,"E,M",1,G,1,"Agree,Agree",3,TRUE
167625,462145775,D,1,B,1,"A,M",0,G,1,"Disagree,Disagree",3,TRUE
275907,649911679,D,1,B,1,"G,M",0,G,1,"Neutral,Neutral",3,TRUE
249210,672593584,D,1,B,1,"E,M",1,,0,,3,TRUE
259322,296964694,D,1,B,1,"E,M",1,C,0,"Disagree,Disagree",3,TRUE
258502,259729767,D,1,B,1,"G,N",0,G,1,"Strongly agree,Agree",3,TRUE
223084,414847975,D,1,B,1,"E,N",0,G,1,"Disagree,Disagree",3,TRUE
259754,280790845,D,1,B,1,"B,M",0,G,1,"Strongly agree,Neutral",3,TRUE
