id,sis_id,pre_confidence_level_combined,pre_iso_ortho_text,pre_iso_ortho_num,pre_ortho_iso_text,pre_ortho_iso_num,post_confidence_level_combined,post_iso_ortho_text,post_iso_ortho_num,post_ortho_iso_text,post_ortho_iso_num,participated_in_treatment
258451,890585072,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
215116,915937696,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
263561,735637311,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
254202,539834780,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
276630,430065930,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
271906,425944586,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
216964,262790112,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
250306,633535162,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
250647,721180197,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
224993,723622382,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
266100,754400731,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
269027,280378981,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
246092,810091938,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
258302,383683794,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
213983,103402645,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
272627,451546258,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
289460,241954894,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
254583,332380801,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
258158,886466732,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
272283,731612520,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
263348,642296167,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
193737,980682765,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
223465,187172524,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
259340,404741974,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
250796,694111662,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
246387,282802723,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
257882,660915021,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
244710,439766768,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
251907,338397633,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
257041,264651749,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
256975,162386753,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
260692,246187946,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
251417,564312298,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
252895,512563386,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
244484,715068174,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
262319,155646305,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
246195,976470145,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
244061,178878707,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
261325,682154462,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
7460,769492712,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
258347,301722885,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
250257,835115086,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
269234,748171565,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
241855,798907409,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
254577,332141645,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
245110,133049715,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
244863,849621940,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
269392,473859511,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
248177,967708051,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
257797,868238218,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
259548,555203276,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
246500,146352457,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
214687,974700867,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
252374,429689551,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
245441,651214418,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
263471,416782810,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
252122,349985043,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
253521,718931068,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
246067,942106919,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
253198,233038984,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
285982,982974454,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
227527,279238711,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
255792,649793174,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
257693,486594591,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
256458,203434628,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
276886,215778815,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
257763,456074114,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
251143,308496059,"Agree,Agree",Agree,4,Agree,4,"Agree,Agree",Agree,4,Agree,4,TRUE
272380,574750187,"Agree,Neutral",Agree,4,Neutral,3,"Agree,Agree",Agree,4,Agree,4,TRUE
